name,address,city,province,region,services,hours,phone,lat,lon,osm_id
Flying V – R. Magsaysay Street,R. Magsaysay Street,,,luzon,"Gasoline, Diesel",,,7.1870203,125.454042,way/176000528
Flying V – R. V. Fulache Street,R. V. Fulache Street,,,luzon,"Gasoline, Diesel",,,10.379389,124.7476833,node/7114473185
Flying V – Rizal,Rizal,,Rizal,luzon,"Gasoline, Diesel",,,14.5812979,121.1803199,way/232893417
Flying V – Rizal,Rizal,,Rizal,luzon,"Gasoline, Diesel",,,14.5241141,121.2398456,way/405587153
Flying V – Rizal Avenue,Rizal Avenue,,,luzon,"Gasoline, Diesel",,,15.8050226,120.4583913,way/987451488
Flying V – Sagbat-Pililla Diversion Road,Sagbat-Pililla Diversion Road,,,luzon,"Gasoline, Diesel",,,14.5058213,121.2899959,way/962184750
Flying V – San Jose Street,San Jose Street,,,luzon,"Gasoline, Diesel",,,10.9448798,122.6346813,way/787070328
Flying V – San Pedro Street,San Pedro Street,,,luzon,"Gasoline, Diesel",,,10.6991711,122.5485121,way/936531109
Flying V – Santa Cruz Street,Santa Cruz Street,,,luzon,"Gasoline, Diesel",,,14.3998361,120.8575501,way/879565377
Flying V – Santa Maria - Tungkong Mangga Road,Santa Maria - Tungkong Mangga Road,,,luzon,"Gasoline, Diesel",,,14.8082139,121.0007476,way/1339383380
Flying V – Sarangani-Davao del Sur Coastal Road,Sarangani-Davao del Sur Coastal Road,,,luzon,"Gasoline, Diesel",,,5.8187694,125.21061,way/737545259
Flying V – Sumulong Highway,Sumulong Highway,,,luzon,"Gasoline, Diesel",,,14.6177138,121.1338681,way/909582526
Flying V – Surigao - Davao Coastal Road,Surigao - Davao Coastal Road,,,luzon,"RON 91, RON 95, Diesel",,,7.5789326,126.5565472,way/178426056
Flying V – Surigao — Davao Coastal Road,Surigao — Davao Coastal Road,,,luzon,"Gasoline, Diesel",,,6.8828043,126.0872557,way/1193688244
Flying V – Surigao-Davao Coastal Road,Surigao-Davao Coastal Road,,,luzon,"Gasoline, Diesel",,,7.1334926,125.8947404,way/971860137
Flying V – Susano Road,Susano Road,,,luzon,"Gasoline, Diesel",,,14.7341815,121.0344092,way/796694448
Flying V – Tagum - Panabo Circumferential Highway,Tagum - Panabo Circumferential Highway,,,luzon,"Gasoline, Diesel",,,7.5821256,125.7074545,way/180934889
Flying V – Tuguegarao Diversion Road II,Tuguegarao Diversion Road II,,,luzon,"Gasoline, Diesel",,,17.6263821,121.7301555,node/11345719069
Flying V – Zabarte Road,Zabarte Road,,,luzon,"Gasoline, Diesel",,,14.7606614,121.0438721,way/874659736
Flying V – Zambales Highway,Zambales Highway,,,luzon,"Gasoline, Diesel",,,15.3053421,120.0062523,way/204255280
Petro Gazz,"Manila East Road, Rizal",,Rizal,luzon,"Gasoline, Diesel",,,14.4866668,121.1861994,way/274718108
flying v,Philippines,,,luzon,"Gasoline, Diesel",,,14.4816047,121.3062407,node/4415926089
"Flying V – Pascual Oliveros Street, Antipolo","Pascual Oliveros Street, Antipolo, Rizal",Antipolo,Rizal,luzon,"Gasoline, Diesel",,,14.5880089,121.1737573,way/235555164
"Flying V – Maharlika Highway, Atimonan","Maharlika Highway, Atimonan",Atimonan,,luzon,"RON 91, RON 95, Diesel",,,13.9969539,121.9177361,way/1060953371
Flying V – Ayungon,Ayungon,Ayungon,,luzon,Diesel,,,9.8611537,123.144992,way/1062073942
Flying V – Baao,Baao,Baao,,luzon,"Gasoline, Diesel",,,13.4568885,123.3648592,node/10745305206
"Flying V – Manila North Road, Bacarra","Manila North Road, Bacarra, Ilocos Norte",Bacarra,Ilocos Norte,luzon,"Gasoline, Diesel",,,18.2883117,120.6000482,node/1236189462
Flying V – Bacoor,"Bacoor, Cavite",Bacoor,Cavite,luzon,"Gasoline, Diesel",,,14.4058092,120.97784,way/182804109
"Flying V – Bacoor Boulevard, Bacoor","Bacoor Boulevard, Bacoor",Bacoor,,luzon,"Gasoline, Diesel",,,14.4260546,120.964446,way/1423925500
"Flying V – General Evangelista Street, Bacoor","General Evangelista Street, Bacoor, Cavite",Bacoor,Cavite,luzon,"Gasoline, Diesel",,,14.4600855,120.9487616,way/180161950
"Flying V – Mambog Road, Bacoor","Mambog Road, Bacoor, Cavite",Bacoor,Cavite,luzon,"Gasoline, Diesel",,,14.4241872,120.9501454,way/759959307
"Flying V – Marcos Avenue, Batac","Marcos Avenue, Batac",Batac,,luzon,"Gasoline, Diesel",24/7,,18.0547444,120.5623514,node/1232828179
"Flying V – Lawa Road, Calamba","Lawa Road, Calamba",Calamba,,luzon,"Gasoline, Diesel",,,14.202403,121.1425401,way/406776420
"Flying V – Natalio Bacalso Avenue, Carcar","Natalio Bacalso Avenue, Carcar",Carcar,,luzon,"Gasoline, Diesel",,,10.1067648,123.6442631,way/655982333
"Flying V – Cebu North Road, Catmon","Cebu North Road, Catmon",Catmon,,luzon,"Gasoline, Diesel",,,10.7277876,124.0138889,way/634861550
"Flying V – Paliparan Road, Dasmarinas","Paliparan Road, Dasmarinas",Dasmarinas,,luzon,"Gasoline, Diesel",,,14.3201406,120.9847792,way/1424405714
Flying V – Guagua,"Guagua, Pampanga",Guagua,Pampanga,luzon,"Gasoline, Diesel",04:00-20:00,,14.9694778,120.6206164,way/889072465
"Flying V – Guagua Old National Highway, Guagua","Guagua Old National Highway, Guagua, Pampanga",Guagua,Pampanga,luzon,"Gasoline, Diesel",05:00-21:00,,14.9682299,120.6336746,way/338729147
"Flying V – Guagua-Floridablanca Road, Guagua","Guagua-Floridablanca Road, Guagua, Pampanga",Guagua,Pampanga,luzon,"Gasoline, Diesel",,,14.9705815,120.6032987,way/780413658
"Flying V – General J. Castañeda Street, Imus","General J. Castañeda Street, Poblacion IV-B, Imus, Cavite",Imus,Cavite,luzon,"Gasoline, Diesel",,,14.4279553,120.9338172,relation/14240410
"Flying V – Tirona Highway, Kawit","Tirona Highway, Kawit",Kawit,,luzon,"Gasoline, Diesel",,,14.4489825,120.9196361,way/109740411
"Flying V – Marcos Highway, La Union","Marcos Highway, La Union",La Union,,luzon,"Gasoline, Diesel",,,16.3193302,120.4702084,way/942945020
"Flying V – Airport Avenue, Laoag","Airport Avenue, Laoag",Laoag,,luzon,"Gasoline, Diesel",,,18.1877223,120.5789125,node/418172434
"Flying V – Diokno Highway, Lemery","Diokno Highway, Lemery",Lemery,,luzon,"Gasoline, Diesel",,,13.9847999,120.8901862,way/416518574
"Flying V – Illustre Avenue, Lemery","Illustre Avenue, Lemery",Lemery,,luzon,"Gasoline, Diesel",24/7,,13.8785319,120.9168815,way/579887351
"Flying V – Economic Road, Maasin","Economic Road, Maasin",Maasin,,luzon,"RON 91, RON 95",,,10.1283188,124.866028,way/1033393551
"Flying V – Fortich Street, Malaybalay","Fortich Street, Casisang, Malaybalay, Bukidnon",Malaybalay,Bukidnon,luzon,"Gasoline, Diesel",,,8.13783,125.1257925,way/1196051038
"Flying V – National Road, Sn Isidro East, Malilipot, Albay","National Road, Sn Isidro East, Malilipot, Albay","Malilipot, Albay",,luzon,"Gasoline, Diesel",,,13.3263698,123.7377658,way/330535457
"Flying V – J. P. Rizal Street, Mendez","J. P. Rizal Street, Mendez",Mendez,,luzon,"Gasoline, Diesel",,,14.1328867,120.9038742,way/1368706818
"Flying V – Kentucky Street, Olongapo","Kentucky Street, Olongapo",Olongapo,,luzon,"Gasoline, Diesel",,,14.8386717,120.2791317,way/474374220
"Flying V – J.C. Zulueta Street, Oton","J.C. Zulueta Street, Oton",Oton,,luzon,"Gasoline, Diesel",,,10.6911179,122.4704796,way/247800915
Flying V – Paoay,Paoay,Paoay,,luzon,"Gasoline, Diesel",,,18.0743385,120.5116574,way/1036350758
"Flying V – P. Urieta Street, Sablayan","P. Urieta Street, Sablayan",Sablayan,,luzon,"Gasoline, Diesel",,,12.8588469,120.785088,way/261406431
Gasoline Station,"Rosario Street, San Enrique",San Enrique,,luzon,"Gasoline, Diesel",,,11.0718321,122.6538585,way/385358650
"Flying V – General A. Luna Street, San Mateo","General A. Luna Street, San Mateo",San Mateo,,luzon,"Gasoline, Diesel",,,14.69545,121.118715,way/1482307568
"Flying V – Maharlika Highway, San Pablo","Maharlika Highway, San Pablo",San Pablo,,luzon,"RON 91, RON 95, Diesel",Mo-Su 06:00-21:00,,14.0694039,121.3115643,way/253810106
"Flying V – San Pablo - Rizal - Nagcarlan Road, San Pablo","San Pablo - Rizal - Nagcarlan Road, San Pablo",San Pablo,,luzon,"RON 91, RON 95, Diesel",,,14.1050752,121.3643474,way/223106197
"Flying V – MacArthur Highway, Sison","MacArthur Highway, Sison",Sison,,luzon,"Gasoline, Diesel",,,16.1722294,120.5178865,way/967916705
"Flying V – Antero Soriano Highway, Tanza","Antero Soriano Highway, Tanza",Tanza,,luzon,"Gasoline, Diesel",,,14.386502,120.8443172,node/941241313
"Flying V – Panganiban Street, Tarlac City","Panganiban Street, Tarlac City",Tarlac City,,luzon,"Gasoline, Diesel",,,15.4904504,120.5935839,way/957547605
"Flying V – Highway 2000, Taytay","Highway 2000, Taytay, Rizal",Taytay,Rizal,luzon,"Gasoline, Diesel",,,14.5545147,121.1278827,way/234974635
"Flying V – Kennon Road, Tuba","Kennon Road, Tuba",Tuba,,luzon,"Gasoline, Diesel",,,16.2909158,120.5895513,way/1011803160
"Flying V – Maharlika Highway, Tuguegarao","Maharlika Highway, Tuguegarao",Tuguegarao,,luzon,"RON 91, RON 95, Diesel",,,17.6535477,121.7443703,way/242797656
"Flying V – Sayre Highway, Valencia City","Sayre Highway, Valencia City, Bukidnon",Valencia City,Bukidnon,luzon,"Gasoline, Diesel",,,7.9294742,125.0969172,way/1009081687
"Flying V – Ising, Carmen","Ising, Carmen, Davao del Norte",Carmen,Davao del Norte,mindanao,"Gasoline, Diesel",,,7.356653,125.7050364,way/144960912
"Flying V – Bandera Española, Davao City","Bandera Española, Mintal, Davao City, Davao del Sur",Davao City,Davao del Sur,mindanao,"Gasoline, Diesel",,,7.0892788,125.5017597,way/1098116536
"Flying V – Bunawan Proper, Davao City","Bunawan Proper, Davao City, Davao del Sur",Davao City,Davao del Sur,mindanao,"Gasoline, Diesel",,,7.2376851,125.6409248,way/1376633140
"Flying V – C. Bangoy Street, Davao City","C. Bangoy Street, Davao City, Davao del Sur",Davao City,Davao del Sur,mindanao,"Gasoline, Diesel",,,7.0685024,125.6094475,way/314215638
"Flying V – Makar-Kiamba Road, General Santos City","Makar-Kiamba Road, Tambler, General Santos City, South Cotabato",General Santos City,South Cotabato,mindanao,"Gasoline, Diesel",,,6.062473,125.143146,way/698331597
"Flying V – Obenza Street, Island Garden City of Samal","Obenza Street, Peñaplata, Island Garden City of Samal, Davao del Norte",Island Garden City of Samal,Davao del Norte,mindanao,"Gasoline, Diesel",,,7.0765835,125.7065885,node/4402629309
"Flying V – General Santos Drive, Koronadal City","General Santos Drive, Zone III, Koronadal City, South Cotabato",Koronadal City,South Cotabato,mindanao,"Gasoline, Diesel",Mo-Su 06:00-20:00,,6.4865485,124.8593111,way/313351846
"Flying V – National Highway, Maco","National Highway, Poblacion, Maco, Davao de Oro",Maco,Davao de Oro,mindanao,"Gasoline, Diesel",,,7.3665722,125.8565994,way/178419089
"Flying V – Dahican Rotunda, Mati City","Dahican Rotunda, Dahican, Mati City, Davao Oriental",Mati City,Davao Oriental,mindanao,"Gasoline, Diesel",,,6.9460053,126.2553249,way/159472593
"Flying V – Poblacion, Mawab","Poblacion, Mawab, Davao de Oro",Mawab,Davao de Oro,mindanao,"Gasoline, Diesel",,,7.5092169,125.9177079,way/314525365
"Flying V – Davao-Agusan National Highway, Panabo City","Davao-Agusan National Highway, Panabo City, Davao del Norte",Panabo City,Davao del Norte,mindanao,"RON 91, RON 95, Diesel",,,7.3046121,125.6827144,way/145079339
"Flying V – National Highway, Panabo City","National Highway, San Francisco, Panabo City, Davao del Norte",Panabo City,Davao del Norte,mindanao,"Gasoline, Diesel",,,7.3067021,125.6828012,way/144959449
"Flying V – Tagum-Panabo Circumferential Road, Panabo City","Tagum-Panabo Circumferential Road, Panabo City, Davao del Norte",Panabo City,Davao del Norte,mindanao,"Gasoline, Diesel",,,7.3318088,125.6619582,way/314525184
"Flying V – Inawayan, Santa Cruz","Inawayan, Santa Cruz, Davao del Sur",Santa Cruz,Davao del Sur,mindanao,"Gasoline, Diesel",,,6.9524746,125.4707389,way/1161625346
"Flying V – San Isidro-Katipunan Road, Santo Niño","San Isidro-Katipunan Road, Santo Niño, South Cotabato",Santo Niño,South Cotabato,mindanao,"Gasoline, Diesel",,,6.4396653,124.6729272,node/12765570101
"Flying V – Digos-Makar Road, Sulop","Digos-Makar Road, Kiblagon, Sulop, Davao del Sur",Sulop,Davao del Sur,mindanao,"Gasoline, Diesel",,,6.5835867,125.3537798,way/775662244
"Flying V – Tullahan Road, Caloocan","Tullahan Road, Caloocan",Caloocan,,ncr,"Gasoline, Diesel",,,14.6832342,121.0065282,way/1115150174
Flying V Tayuman,"1497, Tayuman Street, Manila",Manila,,ncr,"RON 91, Diesel",,,14.6168343,120.9816244,way/330469726
"Flying V – P. Sanchez Street, Manila","P. Sanchez Street, Manila, Metro Manila",Manila,Metro Manila,ncr,"Gasoline, Diesel",,,14.5941843,121.0250264,way/437281099
"Flying V – J. P. Rizal Street, Marikina","J. P. Rizal Street, Marikina",Marikina,,ncr,"Gasoline, Diesel",,,14.6603781,121.1047841,way/874479000
"Flying V – Quirino Avenue, Parañaque","Quirino Avenue, Parañaque",Parañaque,,ncr,"Gasoline, Diesel",,,14.5106155,120.9951688,way/240100135
"Flying V – Alfonso Sandoval Avenue, Pasig","Alfonso Sandoval Avenue, Pasig",Pasig,,ncr,"Gasoline, Diesel",,,14.5659923,121.0942515,way/306669373
Flying V – Pasig,"Pasig, Metro Manila",Pasig,Metro Manila,ncr,"Gasoline, Diesel",,,14.5753911,121.09172,relation/17617705
"Flying V – San Guillermo Avenue, Pasig","San Guillermo Avenue, Pasig, Metro Manila",Pasig,Metro Manila,ncr,"Gasoline, Diesel",,,14.5539715,121.0680776,way/287018255
"Flying V – M. Almeda Street, Pateros","M. Almeda Street, Pateros",Pateros,,ncr,"Gasoline, Diesel",,,14.5476694,121.0711647,way/928057569
Flying V Mindanao 1,"Mindanao Avenue, Quezon City",Quezon City,,ncr,"Gasoline, Diesel",,,14.6832531,121.0316844,way/252253665
"Flying V – Cambridge Street, Quezon City","Cambridge Street, Quezon City",Quezon City,,ncr,"Gasoline, Diesel",,,14.6272319,121.0521261,way/244392061
Flying V – Quezon City,Quezon City,Quezon City,,ncr,"Gasoline, Diesel",,,14.7042506,121.0819551,way/120678999
"Flying V – Quirino Highway, Quezon City","Quirino Highway, Quezon City",Quezon City,,ncr,"Gasoline, Diesel",24/7,,14.6644958,121.0036161,way/243603433
"Flying V – Poblacion, San Juan","Poblacion, San Juan, Southern Leyte",San Juan,Southern Leyte,ncr,"Gasoline, Diesel",,,10.2606613,125.1750031,way/1171045212
"Flying V – Santolan Road, San Juan","Santolan Road, San Juan",San Juan,,ncr,"Gasoline, Diesel",,,14.6046717,121.0330735,way/243039653
"Flying V – General Paulino Santos Avenue, Taguig","General Paulino Santos Avenue, Taguig",Taguig,,ncr,"RON 95, Diesel",,,14.4890082,121.0554031,way/928817854
"Flying V – Kabesang Porong Street, Valenzuela","Kabesang Porong Street, Valenzuela",Valenzuela,,ncr,"RON 91, RON 95, Diesel",,,14.7384824,120.9894232,way/1066135946
"Flying V – MacArthur Highway, Valenzuela","MacArthur Highway, Valenzuela",Valenzuela,,ncr,"RON 91, RON 95, Diesel",,,14.6930403,120.9683634,way/288279051
"Flying V – Burgos Extension, Bacolod","Burgos Extension, Bacolod",Bacolod,,visayas,"Gasoline, Diesel",,,10.6606051,122.9799417,way/888896681
"Flying V – Maharlika Highway, Tacloban City","Maharlika Highway, Tacloban City",Tacloban City,,visayas,"Gasoline, Diesel",,,11.2527101,124.9748813,way/821389584
"Flying V – Tanauan-Talisay-Tagaytay Road, Talisay","Tanauan-Talisay-Tagaytay Road, Talisay, Batangas",Talisay,Batangas,visayas,Diesel,,,14.0936726,121.0284189,way/456304983
